                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2767,                 1.7743,                 1.1106,                0.71497,                0.26277,                0.29098,                0.11731,                 2.1543,                 2.2488,                 1.5397,             0.00036793,             0.00036793,             0.00036793
                      2,                  1.235,                 1.1522,                 1.1063,                0.35237,                  0.306,                 0.2748,                0.11462,                 2.1017,                 1.9688,                 1.5292,             0.00073095,             0.00073095,             0.00073095
                      3,                 1.2416,                 1.0984,                 1.1139,                0.64171,                0.31838,                 0.3019,                0.12416,                 2.1477,                 1.7854,                 1.5697,              0.0010866,              0.0010866,              0.0010866
                      4,                 1.2262,                0.99996,                 1.1041,                0.50018,                0.45901,                0.43859,                 0.1696,                 2.0643,                 1.7498,                 1.5125,               0.001078,               0.001078,               0.001078
                      5,                 1.2099,                 0.9313,                 1.1029,                0.44328,                0.35594,                0.36918,                0.15545,                 2.0164,                 1.6569,                 1.4824,               0.001078,               0.001078,               0.001078
                      6,                 1.2018,                0.89601,                 1.0947,                0.41724,                0.39586,                0.26329,                0.09931,                 2.1451,                  1.956,                 1.5859,               0.001067,               0.001067,               0.001067
                      7,                 1.1746,                0.83871,                 1.0847,                0.55407,                0.40094,                0.41073,                0.18286,                 1.9772,                 1.5365,                 1.4713,               0.001056,               0.001056,               0.001056
                      8,                 1.1773,                0.82849,                 1.0829,                0.57644,                0.37253,                0.37809,                0.16845,                  2.019,                 1.5531,                 1.5092,               0.001045,               0.001045,               0.001045
                      9,                 1.1567,                0.78973,                 1.0733,                0.40816,                0.51783,                0.45424,                0.17779,                 1.9928,                  1.508,                 1.4645,               0.001034,               0.001034,               0.001034
                     10,                 1.1709,                0.80771,                 1.0841,                0.33101,                0.59254,                0.44182,                0.18614,                 1.9472,                 1.4816,                 1.4468,               0.001023,               0.001023,               0.001023
                     11,                 1.1443,                0.77773,                 1.0647,                0.40776,                0.56111,                 0.5069,                0.21748,                 1.9292,                 1.4262,                 1.4285,               0.001012,               0.001012,               0.001012
                     12,                 1.1387,                0.77295,                 1.0713,                0.44434,                0.44396,                0.44918,                0.19266,                 1.9807,                  1.445,                 1.4884,               0.001001,               0.001001,               0.001001
                     13,                 1.1285,                0.75433,                 1.0644,                0.60512,                0.57186,                 0.5498,                0.22939,                 1.9779,                 1.4323,                 1.4802,             0.00099001,             0.00099001,             0.00099001
                     14,                  1.125,                0.74528,                 1.0652,                 0.4624,                 0.5691,                0.53782,                0.20563,                 2.0131,                  1.408,                 1.4556,             0.00097901,             0.00097901,             0.00097901
                     15,                  1.118,                0.73794,                 1.0618,                0.52252,                0.58173,                0.52867,                0.21854,                 1.9694,                 1.5998,                 1.4941,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.1114,                 0.7408,                 1.0609,                0.42995,                0.51048,                0.44671,                0.17601,                 2.0332,                 1.4932,                 1.5181,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.1051,                0.71543,                  1.053,                0.74789,                0.43271,                0.53153,                0.23976,                 1.9037,                 1.5049,                 1.4356,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.0986,                0.70073,                 1.0495,                0.46146,                0.58751,                0.51052,                0.23333,                 1.9582,                 1.3644,                 1.4222,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.1031,                0.70925,                 1.0581,                0.50633,                0.52663,                0.52256,                0.23229,                 1.9385,                 1.3463,                  1.442,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.0993,                0.69941,                 1.0482,                0.45634,                0.59736,                0.52807,                0.22014,                 2.0084,                 1.3597,                 1.4958,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.0952,                0.69814,                 1.0533,                0.57875,                0.60262,                0.55146,                0.22812,                 1.9595,                 1.3889,                 1.4575,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.0848,                0.68892,                 1.0448,                0.62813,                0.63219,                0.61232,                0.25602,                 1.9361,                  1.339,                 1.4402,             0.00089102,             0.00089102,             0.00089102
                     23,                  1.074,                 0.6868,                  1.044,                0.70541,                0.52664,                0.58124,                0.23904,                 1.9353,                 1.3157,                 1.4181,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.0885,                0.67939,                 1.0494,                0.53742,                 0.6119,                0.55388,                0.25393,                 1.9519,                  1.287,                 1.4607,             0.00086902,             0.00086902,             0.00086902
